gid,tipo_pavim,local,cod_local,area,distance,angle,geometry,x,y
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1420.0,101.01958999487104,POINT Z (687059.4518434665 7190118.53983149 0),687059.4518434665,7190118.53983149
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1440.0,107.00853174984738,POINT Z (687078.735469998 7190113.324203019 0),687078.735469998,7190113.324203019
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1460.0,104.45352964349992,POINT Z (687097.9516456599 7190107.785655182 0),687097.9516456599,7190107.785655182
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1480.0,113.33519781156409,POINT Z (687117.0036010604 7190101.814615287 0),687117.0036010604,7190101.814615287
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1500.0,103.66467240227064,POINT Z (687135.7129062458 7190094.8205869775 0),687135.7129062458,7190094.8205869775
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1520.0,19.174346098289153,POINT Z (687151.7345252113 7190100.785948575 0),687151.7345252113,7190100.785948575
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1540.0,19.304350989643936,POINT Z (687158.4586050011 7190119.621307979 0),687158.4586050011,7190119.621307979
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1560.0,353.4354692495888,POINT Z (687157.7756702768 7190139.377361975 0),687157.7756702768,7190139.377361975
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1580.0,19.769441640309136,POINT Z (687154.0210485677 7190158.441212443 0),687154.0210485677,7190158.441212443
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1600.0,32.89758944448561,POINT Z (687164.488343136 7190175.314908395 0),687164.488343136,7190175.314908395
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1620.0,26.9582992820118,POINT Z (687174.7379026803 7190192.423829282 0),687174.7379026803,7190192.423829282
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1640.0,41.09143834378287,POINT Z (687185.4096047431 7190209.164924198 0),687185.4096047431,7190209.164924198
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1660.0,50.523177902460205,POINT Z (687201.0313217018 7190221.538459976 0),687201.0313217018,7190221.538459976
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1680.0,40.57068019868604,POINT Z (687214.8985924858 7190235.884545313 0),687214.8985924858,7190235.884545313
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1700.0,25.792729772283398,POINT Z (687225.614147966 7190252.678574008 0),687225.614147966,7190252.678574008
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1720.0,19.37443149744643,POINT Z (687233.1875962684 7190271.155898294 0),687233.1875962684,7190271.155898294
10,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1740.0,31.043755484117284,POINT Z (687239.0258211 7190289.980149255 0),687239.0258211,7190289.980149255
