gid,local,area,cod_local,tipo_massa,E,N,geometry,x,y
7,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687167.513,7190183.161,POINT Z (687167.5132065767 7190183.160869545 0),687167.5132065767,7190183.160869545
7,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687156.182,7190166.816,POINT Z (687156.182182982 7190166.815607684 0),687156.182182982,7190166.815607684
7,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687143.731,7190171.852,POINT Z (687143.7313193325 7190171.851917111 0),687143.7313193325,7190171.851917111
7,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687134.373,7190189.287,POINT Z (687134.3731773193 7190189.287134256 0),687134.3731773193,7190189.287134256
7,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687137.547,7190195.892,POINT Z (687137.5468175857 7190195.891525666 0),687137.5468175857,7190195.891525666
7,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687155.614,7190197.518,POINT Z (687155.613785025 7190197.51847676 0),687155.613785025,7190197.51847676
7,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687167.431,7190207.393,POINT Z (687167.4311758886 7190207.392746825 0),687167.4311758886,7190207.392746825
7,Fazenda Canguiri,,PFCG,Represa  /  Açude permanente,687171.848,7190192.791,POINT Z (687171.8478002491 7190192.791365132 0),687171.8478002491,7190192.791365132
27,Fazenda Canguiri,,PFCG,Represa  /  Açude temporário,687366.268,7190212.246,POINT Z (687366.2677524823 7190212.246467751 0),687366.2677524823,7190212.246467751
27,Fazenda Canguiri,,PFCG,Represa  /  Açude temporário,687368.67,7190220.948,POINT Z (687368.6700785827 7190220.947924305 0),687368.6700785827,7190220.947924305
27,Fazenda Canguiri,,PFCG,Represa  /  Açude temporário,687369.07,7190215.031,POINT Z (687369.0695962277 7190215.0307512125 0),687369.0695962277,7190215.0307512125
29,Fazenda Canguiri,,PFCG,Represa  /  Açude temporário,687368.904,7190206.431,POINT Z (687368.9042022412 7190206.430540096 0),687368.9042022412,7190206.430540096
29,Fazenda Canguiri,,PFCG,Represa  /  Açude temporário,687383.835,7190212.94,POINT Z (687383.835363387 7190212.940223064 0),687383.835363387,7190212.940223064
29,Fazenda Canguiri,,PFCG,Represa  /  Açude temporário,687370.316,7190203.735,POINT Z (687370.3164988507 7190203.734602553 0),687370.3164988507,7190203.734602553
30,Fazenda Canguiri,,PFCG,Represa  /  Açude temporário,687311.201,7190168.943,POINT Z (687311.2010411305 7190168.943059608 0),687311.2010411305,7190168.943059608
30,Fazenda Canguiri,,PFCG,Represa  /  Açude temporário,687325.12,7190165.911,POINT Z (687325.1200249414 7190165.911322272 0),687325.1200249414,7190165.911322272
30,Fazenda Canguiri,,PFCG,Represa  /  Açude temporário,687310.562,7190152.259,POINT Z (687310.5619745532 7190152.259026513 0),687310.5619745532,7190152.259026513
30,Fazenda Canguiri,,PFCG,Represa  /  Açude temporário,687303.945,7190162.172,POINT Z (687303.9454143856 7190162.172451139 0),687303.9454143856,7190162.172451139
