gid,local,cod_local,E,N,geometry,x,y
680,Fazenda Canguiri,PFCG,687122.9,7190438.105,POINT Z (687122.9001318788 7190438.104952396 940.7279769824916),687122.9001318788,7190438.104952396
681,Fazenda Canguiri,PFCG,687126.034,7190433.061,POINT Z (687126.0338000134 7190433.060735708 940.7279769824916),687126.0338000134,7190433.060735708
682,Fazenda Canguiri,PFCG,687148.76,7190401.951,POINT Z (687148.7601287896 7190401.9508075835 936.9663233218405),687148.7601287896,7190401.9508075835
683,Fazenda Canguiri,PFCG,687145.996,7190345.909,POINT Z (687145.995816788 7190345.908847403 930.8536361232825),687145.995816788,7190345.908847403
684,Fazenda Canguiri,PFCG,687151.471,7190352.45,POINT Z (687151.4713582697 7190352.450116688 930.8536361232825),687151.4713582697,7190352.450116688
685,Fazenda Canguiri,PFCG,687184.871,7190348.167,POINT Z (687184.8711159714 7190348.1669454845 931.0887394770732),687184.8711159714,7190348.1669454845
686,Fazenda Canguiri,PFCG,687183.65,7190350.267,POINT Z (687183.6499775782 7190350.266983308 931.0887394770732),687183.6499775782,7190350.266983308
687,Fazenda Canguiri,PFCG,687207.766,7190322.057,POINT Z (687207.7664691512 7190322.056614413 929.2079126467477),687207.7664691512,7190322.056614413
688,Fazenda Canguiri,PFCG,687219.314,7190308.832,POINT Z (687219.3137904203 7190308.83155339 928.972809292957),687219.3137904203,7190308.83155339
689,Fazenda Canguiri,PFCG,687309.853,7190389.387,POINT Z (687309.8528489012 7190389.387139027 941.0064561978722),687309.8528489012,7190389.387139027
690,Fazenda Canguiri,PFCG,687310.187,7190379.778,POINT Z (687310.1871672146 7190379.777927395 938.4203193061746),687310.1871672146,7190379.777927395
691,Fazenda Canguiri,PFCG,687340.079,7190417.504,POINT Z (687340.0791795165 7190417.503775152 942.0644212899304),687340.0791795165,7190417.503775152
692,Fazenda Canguiri,PFCG,687342.925,7190420.048,POINT Z (687342.9248391595 7190420.048464253 943.2399380588838),687342.9248391595,7190420.048464253
693,Fazenda Canguiri,PFCG,687345.781,7190422.116,POINT Z (687345.7810840445 7190422.1163194515 943.2399380588838),687345.7810840445,7190422.1163194515
