id,local,cod_local,tipo_trech,E,N,geometry,x,y
6,Fazenda Canguiri,PFCG,Curso dagua,687639.384,7190042.508,POINT Z (687639.3839924285 7190042.508383314 0),687639.3839924285,7190042.508383314
6,Fazenda Canguiri,PFCG,Curso dagua,687643.758,7190024.191,POINT Z (687643.7575076527 7190024.191335502 0),687643.7575076527,7190024.191335502
6,Fazenda Canguiri,PFCG,Curso dagua,687630.906,7190009.298,POINT Z (687630.9057641124 7190009.297969747 0),687630.9057641124,7190009.297969747
6,Fazenda Canguiri,PFCG,Curso dagua,687632.787,7189993.775,POINT Z (687632.787038505 7189993.775185109 0),687632.787038505,7189993.775185109
6,Fazenda Canguiri,PFCG,Curso dagua,687650.711,7189985.052,POINT Z (687650.7113583415 7189985.052292365 0),687650.7113583415,7189985.052292365
6,Fazenda Canguiri,PFCG,Curso dagua,687668.896,7189978.92,POINT Z (687668.8957609975 7189978.919961717 0),687668.8957609975,7189978.919961717
6,Fazenda Canguiri,PFCG,Curso dagua,687682.269,7189986.444,POINT Z (687682.2685970328 7189986.443731547 0),687682.2685970328,7189986.443731547
6,Fazenda Canguiri,PFCG,Curso dagua,687693.16,7190001.308,POINT Z (687693.1600310009 7190001.308303888 0),687693.1600310009,7190001.308303888
6,Fazenda Canguiri,PFCG,Curso dagua,687708.318,7190012.856,POINT Z (687708.318157633 7190012.855557042 0),687708.318157633,7190012.855557042
6,Fazenda Canguiri,PFCG,Curso dagua,687717.744,7190029.696,POINT Z (687717.74396074 7190029.696361473 0),687717.74396074,7190029.696361473
6,Fazenda Canguiri,PFCG,Curso dagua,687730.832,7190044.516,POINT Z (687730.8315225668 7190044.516397093 0),687730.8315225668,7190044.516397093
24,Fazenda Canguiri,PFCG,Curso dagua temporário,687551.966,7190993.539,POINT Z (687551.9664274867 7190993.538946741 0),687551.9664274867,7190993.538946741
24,Fazenda Canguiri,PFCG,Curso dagua temporário,687566.681,7190980.163,POINT Z (687566.6810545088 7190980.162544793 0),687566.6810545088,7190980.162544793
24,Fazenda Canguiri,PFCG,Curso dagua temporário,687584.295,7190970.726,POINT Z (687584.295396146 7190970.726036102 0),687584.295396146,7190970.726036102
24,Fazenda Canguiri,PFCG,Curso dagua temporário,687600.96,7190959.786,POINT Z (687600.9595579578 7190959.78631338 0),687600.9595579578,7190959.78631338
24,Fazenda Canguiri,PFCG,Curso dagua temporário,687613.985,7190944.786,POINT Z (687613.9849511898 7190944.786208018 0),687613.9849511898,7190944.786208018
24,Fazenda Canguiri,PFCG,Curso dagua temporário,687627.123,7190929.83,POINT Z (687627.1231692736 7190929.829897626 0),687627.1231692736,7190929.829897626
24,Fazenda Canguiri,PFCG,Curso dagua temporário,687643.67,7190919.132,POINT Z (687643.6697979327 7190919.132264644 0),687643.6697979327,7190919.132264644
24,Fazenda Canguiri,PFCG,Curso dagua temporário,687657.734,7190905.156,POINT Z (687657.7336884618 7190905.156352396 0),687657.7336884618,7190905.156352396
24,Fazenda Canguiri,PFCG,Curso dagua temporário,687666.025,7190887.159,POINT Z (687666.0245792121 7190887.159213661 0),687666.0245792121,7190887.159213661
24,Fazenda Canguiri,PFCG,Curso dagua temporário,687669.176,7190867.419,POINT Z (687669.1762101995 7190867.418616649 0),687669.1762101995,7190867.418616649
24,Fazenda Canguiri,PFCG,Curso dagua temporário,687669.57,7190847.541,POINT Z (687669.5700717143 7190847.540733983 0),687669.5700717143,7190847.540733983
12,Fazenda Canguiri,PFCG,Curso dagua,687745.164,7190054.175,POINT Z (687745.1639229358 7190054.175097142 0),687745.1639229358,7190054.175097142
12,Fazenda Canguiri,PFCG,Curso dagua,687763.134,7190062.37,POINT Z (687763.1340492715 7190062.369592597 0),687763.1340492715,7190062.369592597
12,Fazenda Canguiri,PFCG,Curso dagua,687778.41,7190074.671,POINT Z (687778.4095119367 7190074.670513665 0),687778.4095119367,7190074.670513665
12,Fazenda Canguiri,PFCG,Curso dagua,687788.388,7190091.734,POINT Z (687788.3878755826 7190091.734160156 0),687788.3878755826,7190091.734160156
12,Fazenda Canguiri,PFCG,Curso dagua,687807.114,7190096.006,POINT Z (687807.1137594942 7190096.005942249 0),687807.1137594942,7190096.005942249
12,Fazenda Canguiri,PFCG,Curso dagua,687827.058,7190096.666,POINT Z (687827.0578069143 7190096.665903829 0),687827.0578069143,7190096.665903829
15,Fazenda Canguiri,PFCG,Curso dagua,687168.857,7190174.478,POINT Z (687168.8567198333 7190174.478390826 0),687168.8567198333,7190174.478390826
15,Fazenda Canguiri,PFCG,Curso dagua,687175.399,7190156.743,POINT Z (687175.3990763829 7190156.742783346 0),687175.3990763829,7190156.742783346
15,Fazenda Canguiri,PFCG,Curso dagua,687188.494,7190142.823,POINT Z (687188.4935008216 7190142.822816601 0),687188.4935008216,7190142.822816601
15,Fazenda Canguiri,PFCG,Curso dagua,687204.854,7190132.451,POINT Z (687204.8536777716 7190132.450735612 0),687204.8536777716,7190132.450735612
15,Fazenda Canguiri,PFCG,Curso dagua,687224.028,7190127.58,POINT Z (687224.0280118695 7190127.579648416 0),687224.0280118695,7190127.579648416
15,Fazenda Canguiri,PFCG,Curso dagua,687233.601,7190110.825,POINT Z (687233.6012916912 7190110.824585998 0),687233.6012916912,7190110.824585998
15,Fazenda Canguiri,PFCG,Curso dagua,687246.449,7190096.156,POINT Z (687246.4490276735 7190096.155501223 0),687246.4490276735,7190096.155501223
15,Fazenda Canguiri,PFCG,Curso dagua,687264.001,7190086.952,POINT Z (687264.0005828651 7190086.951865791 0),687264.0005828651,7190086.951865791
15,Fazenda Canguiri,PFCG,Curso dagua,687280.568,7190075.859,POINT Z (687280.5684041764 7190075.859361008 0),687280.5684041764,7190075.859361008
25,Fazenda Canguiri,PFCG,Curso dagua temporário,687535.504,7190847.535,POINT Z (687535.5041803509 7190847.534758674 0),687535.5041803509,7190847.534758674
25,Fazenda Canguiri,PFCG,Curso dagua temporário,687553.77,7190839.858,POINT Z (687553.7703159021 7190839.857893894 0),687553.7703159021,7190839.857893894
25,Fazenda Canguiri,PFCG,Curso dagua temporário,687572.926,7190834.628,POINT Z (687572.9260956227 7190834.6282084845 0),687572.9260956227,7190834.6282084845
25,Fazenda Canguiri,PFCG,Curso dagua temporário,687588.807,7190822.684,POINT Z (687588.8074131815 7190822.683751747 0),687588.8074131815,7190822.683751747
25,Fazenda Canguiri,PFCG,Curso dagua temporário,687603.918,7190809.646,POINT Z (687603.9184354993 7190809.646236634 0),687603.9184354993,7190809.646236634
25,Fazenda Canguiri,PFCG,Curso dagua temporário,687620.751,7190798.853,POINT Z (687620.75114472 7190798.852637263 0),687620.75114472,7190798.852637263
23,Fazenda Canguiri,PFCG,Curso dagua temporário,686669.129,7190377.056,POINT Z (686669.1289375764 7190377.056162696 0),686669.1289375764,7190377.056162696
23,Fazenda Canguiri,PFCG,Curso dagua temporário,686649.546,7190380.824,POINT Z (686649.5458922117 7190380.824224464 0),686649.5458922117,7190380.824224464
23,Fazenda Canguiri,PFCG,Curso dagua temporário,686631.13,7190388.562,POINT Z (686631.1301662149 7190388.562022012 0),686631.1301662149,7190388.562022012
23,Fazenda Canguiri,PFCG,Curso dagua temporário,686612.014,7190394.146,POINT Z (686612.0143855462 7190394.146190906 0),686612.0143855462,7190394.146190906
23,Fazenda Canguiri,PFCG,Curso dagua temporário,686594.394,7190403.593,POINT Z (686594.394195852 7190403.5929260915 0),686594.394195852,7190403.5929260915
23,Fazenda Canguiri,PFCG,Curso dagua temporário,686576.435,7190412.295,POINT Z (686576.4354943455 7190412.295336803 0),686576.4354943455,7190412.295336803
23,Fazenda Canguiri,PFCG,Curso dagua temporário,686559.402,7190422.458,POINT Z (686559.4019264672 7190422.457939411 0),686559.4019264672,7190422.457939411
23,Fazenda Canguiri,PFCG,Curso dagua temporário,686544.527,7190435.828,POINT Z (686544.5274395267 7190435.827667839 0),686544.5274395267,7190435.827667839
23,Fazenda Canguiri,PFCG,Curso dagua temporário,686529.494,7190449.016,POINT Z (686529.4938234887 7190449.016464355 0),686529.4938234887,7190449.016464355
23,Fazenda Canguiri,PFCG,Curso dagua temporário,686514.227,7190461.919,POINT Z (686514.2273372135 7190461.918820026 0),686514.2273372135,7190461.918820026
26,Fazenda Canguiri,PFCG,Curso dagua temporário,687499.361,7190610.203,POINT Z (687499.3609756706 7190610.202529383 0),687499.3609756706,7190610.202529383
26,Fazenda Canguiri,PFCG,Curso dagua temporário,687508.687,7190627.782,POINT Z (687508.6874271329 7190627.7823880715 0),687508.6874271329,7190627.7823880715
26,Fazenda Canguiri,PFCG,Curso dagua temporário,687523.003,7190641.702,POINT Z (687523.0025374403 7190641.70221554 0),687523.0025374403,7190641.70221554
26,Fazenda Canguiri,PFCG,Curso dagua temporário,687534.267,7190658.203,POINT Z (687534.266573208 7190658.202963604 0),687534.266573208,7190658.202963604
26,Fazenda Canguiri,PFCG,Curso dagua temporário,687547.579,7190672.482,POINT Z (687547.5787331659 7190672.482002178 0),687547.5787331659,7190672.482002178
26,Fazenda Canguiri,PFCG,Curso dagua temporário,687559.233,7190688.541,POINT Z (687559.2325965256 7190688.540743001 0),687559.2325965256,7190688.540743001
26,Fazenda Canguiri,PFCG,Curso dagua temporário,687567.833,7190706.567,POINT Z (687567.8330370218 7190706.56693328 0),687567.8330370218,7190706.56693328
26,Fazenda Canguiri,PFCG,Curso dagua temporário,687579.95,7190722.458,POINT Z (687579.9501897594 7190722.458146116 0),687579.9501897594,7190722.458146116
36,Fazenda Canguiri,PFCG,Curso dagua temporário,687359.74,7190664.016,POINT Z (687359.74028444 7190664.0156895155 0),687359.74028444,7190664.0156895155
36,Fazenda Canguiri,PFCG,Curso dagua temporário,687379.499,7190661.768,POINT Z (687379.4985886571 7190661.767906086 0),687379.4985886571,7190661.767906086
36,Fazenda Canguiri,PFCG,Curso dagua temporário,687398.998,7190666.176,POINT Z (687398.9982103009 7190666.175727202 0),687398.9982103009,7190666.175727202
36,Fazenda Canguiri,PFCG,Curso dagua temporário,687418.434,7190670.869,POINT Z (687418.4336463375 7190670.86944909 0),687418.4336463375,7190670.86944909
36,Fazenda Canguiri,PFCG,Curso dagua temporário,687436.204,7190679.918,POINT Z (687436.2043047051 7190679.917600318 0),687436.2043047051,7190679.917600318
36,Fazenda Canguiri,PFCG,Curso dagua temporário,687455.902,7190681.77,POINT Z (687455.9024532961 7190681.76983574 0),687455.9024532961,7190681.76983574
36,Fazenda Canguiri,PFCG,Curso dagua temporário,687474.974,7190686.166,POINT Z (687474.9744785973 7190686.166460299 0),687474.9744785973,7190686.166460299
36,Fazenda Canguiri,PFCG,Curso dagua temporário,687494.717,7190683.119,POINT Z (687494.7171183615 7190683.118700874 0),687494.7171183615,7190683.118700874
36,Fazenda Canguiri,PFCG,Curso dagua temporário,687513.827,7190678.2,POINT Z (687513.8274501783 7190678.19990956 0),687513.8274501783,7190678.19990956
36,Fazenda Canguiri,PFCG,Curso dagua temporário,687533.351,7190682.502,POINT Z (687533.351151384 7190682.50214337 0),687533.351151384,7190682.50214337
36,Fazenda Canguiri,PFCG,Curso dagua temporário,687552.967,7190686.403,POINT Z (687552.9670437742 7190686.403010675 0),687552.9670437742,7190686.403010675
37,Fazenda Canguiri,PFCG,Curso dagua temporário,687829.454,7191143.968,POINT Z (687829.4543824984 7191143.967834086 0),687829.4543824984,7191143.967834086
37,Fazenda Canguiri,PFCG,Curso dagua temporário,687828.191,7191124.063,POINT Z (687828.1908742706 7191124.063105546 0),687828.1908742706,7191124.063105546
37,Fazenda Canguiri,PFCG,Curso dagua temporário,687829.224,7191104.184,POINT Z (687829.223714838 7191104.184081414 0),687829.223714838,7191104.184081414
37,Fazenda Canguiri,PFCG,Curso dagua temporário,687829.97,7191084.28,POINT Z (687829.9704743528 7191084.279774454 0),687829.9704743528,7191084.279774454
37,Fazenda Canguiri,PFCG,Curso dagua temporário,687834.499,7191064.827,POINT Z (687834.4985566387 7191064.827381111 0),687834.4985566387,7191064.827381111
37,Fazenda Canguiri,PFCG,Curso dagua temporário,687840.339,7191045.706,POINT Z (687840.3391504296 7191045.7057640655 0),687840.3391504296,7191045.7057640655
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687130.169,7190500.495,POINT Z (687130.1690582172 7190500.495269394 0),687130.1690582172,7190500.495269394
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687124.519,7190481.685,POINT Z (687124.5194009413 7190481.684520467 0),687124.5194009413,7190481.684520467
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687111.856,7190466.331,POINT Z (687111.855636608 7190466.330641433 0),687111.855636608,7190466.330641433
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687110.934,7190447.042,POINT Z (687110.9342695631 7190447.04178309 0),687110.9342695631,7190447.04178309
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687115.593,7190427.715,POINT Z (687115.5925907127 7190427.714687604 0),687115.5925907127,7190427.714687604
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687119.178,7190408.406,POINT Z (687119.1783549833 7190408.406057553 0),687119.1783549833,7190408.406057553
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687116.543,7190388.93,POINT Z (687116.5429748176 7190388.92955512 0),687116.5429748176,7190388.92955512
38,Fazenda Canguiri,PFCG,Curso dagua temporário,687123.014,7190370.351,POINT Z (687123.0144587667 7190370.351448186 0),687123.0144587667,7190370.351448186
