gid,LAYER,local,cod_local,tipo_poste,tipo_lampa,potencia,qnt_lampad,vida_util,data_troca,data_insta,nome_poste,E,N,geometry,x,y
129,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687808.981,687808.981,POINT Z (687808.980855036 7190483.785307032 0),687808.980855036,7190483.785307032
148,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687380.723,687380.723,POINT Z (687380.7225465679 7190458.761115994 0),687380.7225465679,7190458.761115994
149,Poste,Fazenda Canguiri,PFCG,,,,,,,,,686902.831,686902.831,POINT Z (686902.8314657527 7190580.135940301 0),686902.8314657527,7190580.135940301
150,Poste,Fazenda Canguiri,PFCG,,,,,,,,,686954.696,686954.696,POINT Z (686954.6962240159 7190605.753802114 0),686954.6962240159,7190605.753802114
151,Poste,Fazenda Canguiri,PFCG,,,,,,,,,686879.361,686879.361,POINT Z (686879.3613144737 7190559.705792975 0),686879.3613144737,7190559.705792975
152,Poste,Fazenda Canguiri,PFCG,,,,,,,,,686854.017,686854.017,POINT Z (686854.0172506114 7190538.485302961 0),686854.0172506114,7190538.485302961
153,Poste,Fazenda Canguiri,PFCG,,,,,,,,,686844.204,686844.204,POINT Z (686844.2043283214 7190477.027861555 0),686844.2043283214,7190477.027861555
154,Poste,Fazenda Canguiri,PFCG,,,,,,,,,686834.156,686834.156,POINT Z (686834.1556144733 7190521.014012341 0),686834.1556144733,7190521.014012341
169,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687732.513,687732.513,POINT Z (687732.5134290376 7190763.788247837 0),687732.5134290376,7190763.788247837
170,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687479.773,687479.773,POINT Z (687479.7728089994 7190346.987199499 0),687479.7728089994,7190346.987199499
171,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687446.687,687446.687,POINT Z (687446.6874745325 7190384.1141262315 0),687446.6874745325,7190384.1141262315
172,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687413.621,687413.621,POINT Z (687413.6213004668 7190421.623544942 0),687413.6213004668,7190421.623544942
173,Poste,Fazenda Canguiri,PFCG,,,,,,,,,687347.438,687347.438,POINT Z (687347.4377885519 7190496.635040715 0),687347.4377885519,7190496.635040715
